,users,ratings,heading,reviews,location,likes count
11,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
12,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1765
13,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
14,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
15,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3267
16,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
17,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
18,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",141
19,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",763
20,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
21,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
22,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
23,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
24,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
25,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
26,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
27,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
28,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
29,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
30,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5467
31,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
32,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1765
33,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
34,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
35,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3267
36,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
37,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
38,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",141
39,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",763
40,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
41,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
42,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
43,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
44,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
45,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
46,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
47,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
48,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
49,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
50,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
51,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
52,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
53,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
54,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
55,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
56,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
57,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
58,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
59,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
60,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
61,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
62,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
63,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
64,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
65,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
66,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
67,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
68,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
69,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
70,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
71,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
72,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
73,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
74,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
75,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
76,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
77,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
